"","norms","count","words","length"
"13423","aeennrx",2,"annexer",7
"13424","aeennrx",2,"reannex",7
"13425","aeennt",2,"etnean",6
"13426","aeennt",2,"neaten",6
"13430","aeenoprss",2,"parsonese",9
"13431","aeenoprss",2,"preseason",9
"13432","aeenoprst",2,"esperanto",9
"13433","aeenoprst",2,"personate",9
"13437","aeenors",2,"arenose",7
"13438","aeenors",2,"serenoa",7
"13442","aeenortv",2,"overneat",8
"13443","aeenortv",2,"renovate",8
"13444","aeenprrtt",2,"patterner",9
"13445","aeenprrtt",2,"repattern",9
"13449","aeenprst",2,"entrepas",8
"13450","aeenprst",2,"septenar",8
"13455","aeenprtt",2,"pattener",8
"13456","aeenprtt",2,"repatent",8
"13457","aeenpst",2,"penates",7
"13458","aeenpst",2,"septane",7
"13459","aeenrr",2,"earner",6
"13460","aeenrr",2,"ranere",6
"13461","aeenrrsw",2,"answerer",8
"13462","aeenrrsw",2,"reanswer",8
"13463","aeenrs",2,"serean",6
"13464","aeenrs",2,"serena",6
"13476","aeenrtv",2,"nervate",7
"13477","aeenrtv",2,"veteran",7
"13483","aeent",2,"eaten",5
"13484","aeent",2,"enate",5
"13485","aeeopr",2,"aerope",6
"13486","aeeopr",2,"operae",6
"13487","aeeoprrt",2,"perorate",8
"13488","aeeoprrt",2,"retepora",8
"13489","aeeoprst",2,"asterope",8
"13490","aeeoprst",2,"protease",8
"13491","aeeorrtv",2,"overrate",8
"13492","aeeorrtv",2,"overtare",8
"13497","aeeprrss",2,"asperser",8
"13498","aeeprrss",2,"repasser",8
"13499","aeeprrst",2,"pasterer",8
"13500","aeeprrst",2,"strepera",8
"13501","aeeprrstu",2,"repasture",9
"13502","aeeprrstu",2,"supertare",9
"13503","aeeprrtt",2,"patterer",8
"13504","aeeprrtt",2,"pretreat",8
"13512","aeeprstt",2,"prestate",8
"13513","aeeprstt",2,"pretaste",8
"13517","aeepst",2,"asteep",6
"13518","aeepst",2,"peseta",6
"13519","aeeptt",2,"pattee",6
"13520","aeeptt",2,"tapete",6
"13521","aeerrrst",2,"arrester",8
"13522","aeerrrst",2,"rearrest",8
"13523","aeerrrstu",2,"serrature",9
"13524","aeerrrstu",2,"treasurer",9
"13525","aeerrs",2,"eraser",6
"13526","aeerrs",2,"searer",6
"13527","aeerrsst",2,"asserter",8
"13528","aeerrsst",2,"reassert",8
"13538","aeerrtw",2,"rewater",7
"13539","aeerrtw",2,"waterer",7
"13543","aeers",2,"easer",5
"13544","aeers",2,"erase",5
"13556","aeersttt",2,"attester",8
"13557","aeersttt",2,"reattest",8
"13558","aeerstu",2,"austere",7
"13559","aeerstu",2,"euaster",7
"13560","aeerstv",2,"evestar",7
"13561","aeerstv",2,"versate",7
"13562","aeerstw",2,"resweat",7
"13563","aeerstw",2,"sweater",7
"13567","aeerv",2,"eaver",5
"13568","aeerv",2,"reave",5
"13569","aeervw",2,"rewave",6
"13570","aeervw",2,"weaver",6
"13571","aeest",2,"setae",5
"13572","aeest",2,"tease",5
"13576","aeev",2,"eave",4
"13577","aeev",2,"evea",4
"13578","aeffgru",2,"gauffer",7
"13579","aeffgru",2,"gauffre",7
"13580","aeffhirst",2,"fireshaft",9
"13581","aeffhirst",2,"tasheriff",9
"13582","aeffimrr",2,"affirmer",8
"13583","aeffimrr",2,"reaffirm",8
"13584","aefflr",2,"farfel",6
"13585","aefflr",2,"raffle",6
"13586","aefflstu",2,"feastful",8
"13587","aefflstu",2,"sufflate",8
"13588","aeffrst",2,"restaff",7
"13589","aeffrst",2,"staffer",7
"13590","aefgimnry",2,"germanify",9
"13591","aefgimnry",2,"remagnify",9
"13592","aefgirtu",2,"figurate",8
"13593","aefgirtu",2,"fruitage",8
"13594","aefgln",2,"fangle",6
"13595","aefgln",2,"flange",6
"13596","aefgmnor",2,"forgeman",8
"13597","aefgmnor",2,"formagen",8
"13598","aefgnrstu",2,"afterguns",9
"13599","aefgnrstu",2,"transfuge",9
"13600","aefgort",2,"aftergo",7
"13601","aefgort",2,"fagoter",7
"13602","aefgrrt",2,"grafter",7
"13603","aefgrrt",2,"regraft",7
"13607","aefhinors",2,"fashioner",9
"13608","aefhinors",2,"refashion",9
"13609","aefhlrs",2,"flasher",7
"13610","aefhlrs",2,"reflash",7
"13611","aefhltu",2,"hateful",7
"13612","aefhltu",2,"heatful",7
"13619","aefiilnooprt",2,"perfoliation",12
"13620","aefiilnooprt",2,"prefoliation",12
"13624","aefilmn",2,"feminal",7
"13625","aefilmn",2,"inflame",7
"13626","aefilmnr",2,"inflamer",8
"13627","aefilmnr",2,"rifleman",8
"13628","aefilmr",2,"fermail",7
"13629","aefilmr",2,"fermila",7
"13630","aefiln",2,"afenil",6
"13631","aefiln",2,"finale",6
"13635","aefilort",2,"floriate",8
"13636","aefilort",2,"foralite",8
"13637","aefilortu",2,"foliature",9
"13638","aefilortu",2,"toluifera",9
"13639","aefilstw",2,"flatwise",8
"13640","aefilstw",2,"saltwife",8
"13645","aefimn",2,"famine",6
"13646","aefimn",2,"infame",6
"13650","aefimorrsu",2,"armiferous",10
"13651","aefimorrsu",2,"ramiferous",10
"13652","aefimrr",2,"firearm",7
"13653","aefimrr",2,"marfire",7
"13654","aefinru",2,"fuirena",7
"13655","aefinru",2,"unafire",7
"13656","aefir",2,"afire",5
"13657","aefir",2,"feria",5
"13658","aefirrs",2,"fraiser",7
"13659","aefirrs",2,"frasier",7
"13660","aefk",2,"fake",4
"13661","aefk",2,"feak",4
"13662","aefkr",2,"faker",5
"13663","aefkr",2,"freak",5
"13664","aefkry",2,"fakery",6
"13665","aefkry",2,"freaky",6
"13670","aefllr",2,"faller",6
"13671","aefllr",2,"refall",6
"13672","aefllsttuy",2,"statefully",10
"13673","aefllsttuy",2,"tastefully",10
"13674","aeflm",2,"flame",5
"13675","aeflm",2,"fleam",5
"13676","aeflmnoooprrtt",2,"frontotemporal",14
"13677","aeflmnoooprrtt",2,"temporofrontal",14
"13678","aeflmortu",2,"feulamort",9
"13679","aeflmortu",2,"formulate",9
"13680","aeflmoru",2,"formulae",8
"13681","aeflmoru",2,"fumarole",8
"13682","aeflmrstu",2,"masterful",9
"13683","aeflmrstu",2,"streamful",9
"13684","aeflnopt",2,"felapton",8
"13685","aeflnopt",2,"pantofle",8
"13686","aeflnors",2,"farnesol",8
"13687","aeflnors",2,"forensal",8
"13688","aeflnru",2,"earnful",7
"13689","aeflnru",2,"funeral",7
"13690","aeflorst",2,"astrofel",8
"13691","aeflorst",2,"forestal",8
"13695","aeflortu",2,"fluorate",8
"13696","aeflortu",2,"outflare",8
"13697","aeflpru",2,"rapeful",7
"13698","aeflpru",2,"upflare",7
"13699","aeflr",2,"feral",5
"13700","aeflr",2,"flare",5
"13701","aeflrs",2,"falser",6
"13702","aeflrs",2,"flaser",6
"13709","aeflsttu",2,"stateful",8
"13710","aeflsttu",2,"tasteful",8
"13711","aeflstuw",2,"sweatful",8
"13712","aeflstuw",2,"wasteful",8
"13713","aeflsy",2,"fayles",6
"13714","aeflsy",2,"safely",6
"13719","aeflty",2,"fealty",6
"13720","aeflty",2,"featly",6
"13721","aefly",2,"fleay",5
"13722","aefly",2,"leafy",5
"13723","aefmnoprrt",2,"performant",10
"13724","aefmnoprrt",2,"preformant",10
"13725","aefmnor",2,"foramen",7
"13726","aefmnor",2,"foreman",7
"13727","aefmnorrrst",2,"retransform",11
"13728","aefmnorrrst",2,"transformer",11
"13729","aefmor",2,"femora",6
"13730","aefmor",2,"foamer",6
"13731","aefmr",2,"frame",5
"13732","aefmr",2,"fream",5
"13733","aefmrr",2,"farmer",6
"13734","aefmrr",2,"framer",6
"13735","aefnst",2,"fasten",6
"13736","aefnst",2,"nefast",6
"13737","aefooprstw",2,"sweatproof",10
"13738","aefooprstw",2,"wasteproof",10
"13739","aefoprrt",2,"forepart",8
"13740","aefoprrt",2,"prefator",8
"13748","aefrrt",2,"frater",6
"13749","aefrrt",2,"rafter",6
"13750","aefrs",2,"farse",5
"13751","aefrs",2,"frase",5
"13755","aefrt",2,"afret",5
"13756","aefrt",2,"after",5
"13757","aefry",2,"faery",5
"13758","aefry",2,"freya",5
"13759","aefstu",2,"estufa",6
"13760","aefstu",2,"fusate",6
"13764","aeggilnnnooru",2,"ganglioneuron",13
"13765","aeggilnnnooru",2,"neuroganglion",13
"13766","aegginorrsu",2,"grangousier",11
"13767","aegginorrsu",2,"gregarinous",11
"13768","aegginrrt",2,"gartering",9
"13769","aegginrrt",2,"regrating",9
"13770","aeggln",2,"laggen",6
"13771","aeggln",2,"naggle",6
"13776","aegglw",2,"waggel",6
"13777","aegglw",2,"waggle",6
"13784","aeggrs",2,"sagger",6
"13785","aeggrs",2,"seggar",6
"13786","aeggrt",2,"garget",6
"13787","aeggrt",2,"tagger",6
"13788","aeggrty",2,"gargety",7
"13789","aeggrty",2,"raggety",7
"13790","aeghhhilooopprty",2,"heliophotography",16
"13791","aeghhhilooopprty",2,"photoheliography",16
"13792","aeghhmoprrty",2,"mythographer",12
"13793","aeghhmoprrty",2,"thermography",12
"13794","aeghhoopprrt",2,"photographer",12
"13795","aeghhoopprrt",2,"rephotograph",12
"13796","aeghhoprty",2,"ethography",10
"13797","aeghhoprty",2,"hyetograph",10
"13798","aeghiilnoopr",2,"oligonephria",12
"13799","aeghiilnoopr",2,"oligophrenia",12
"13800","aeghilnrt",2,"earthling",9
"13801","aeghilnrt",2,"heartling",9
"13802","aeghilrt",2,"litharge",8
"13803","aeghilrt",2,"thirlage",8
"13804","aeghimnopsu",2,"amphigenous",11
"13805","aeghimnopsu",2,"musophagine",11
"13806","aeghin",2,"gienah",6
"13807","aeghin",2,"hangie",6
"13808","aeghinrrs",2,"garnisher",9
"13809","aeghinrrs",2,"regarnish",9
"13810","aeghinrstt",2,"shattering",10
"13811","aeghinrstt",2,"straighten",10
"13812","aeghinrt",2,"hearting",8
"13813","aeghinrt",2,"ingather",8
"13814","aeghint",2,"gahnite",7
"13815","aeghint",2,"heating",7
"13816","aeghipps",2,"pageship",8
"13817","aeghipps",2,"shippage",8
"13818","aeghir",2,"hegari",6
"13819","aeghir",2,"hegira",6
"13820","aeghlmnooopsu",2,"megalophonous",13
"13821","aeghlmnooopsu",2,"omphalogenous",13
"13822","aeghlnoot",2,"halogeton",9
"13823","aeghlnoot",2,"theogonal",9
"13824","aeghlrstu",2,"lethargus",9
"13825","aeghlrstu",2,"slaughter",9
"13829","aeghmnopr",2,"gomphrena",9
"13830","aeghmnopr",2,"nephogram",9
"13831","aeghmo",2,"homage",6
"13832","aeghmo",2,"ohmage",6
"13833","aeghmoprsuy",2,"hypergamous",11
"13834","aeghmoprsuy",2,"museography",11
"13835","aeghnnoostu",2,"anthogenous",11
"13836","aeghnnoostu",2,"neognathous",11
"13837","aeghnoprry",2,"granophyre",10
"13838","aeghnoprry",2,"renography",10
"13839","aeghnopt",2,"heptagon",8
"13840","aeghnopt",2,"pathogen",8
"13841","aeghnr",2,"hanger",6
"13842","aeghnr",2,"rehang",6
"13843","aeghopprrss",2,"grasshopper",11
"13844","aeghopprrss",2,"hoppergrass",11
"13848","aeghorst",2,"hostager",8
"13849","aeghorst",2,"shortage",8
"13850","aeghr",2,"gareh",5
"13851","aeghr",2,"gerah",5
"13852","aegiiinnosttv",2,"investigation",13
"13853","aegiiinnosttv",2,"tenovaginitis",13
"13854","aegiilnnortt",2,"intolerating",12
"13855","aegiilnnortt",2,"nitrogelatin",12
"13856","aegiilnopt",2,"pigeontail",10
"13857","aegiilnopt",2,"plagionite",10
"13858","aegiilnors",2,"seignioral",10
"13859","aegiilnors",2,"seignorial",10
"13860","aegiilnort",2,"genitorial",10
"13861","aegiilnort",2,"religation",10
"13862","aegiilntv",2,"genitival",9
"13863","aegiilntv",2,"vigilante",9
"13864","aegiiltt",2,"litigate",8
"13865","aegiiltt",2,"tagilite",8
"13866","aegiimnort",2,"emigration",10
"13867","aegiimnort",2,"remigation",10
"13868","aegiimnr",2,"imaginer",8
"13869","aegiimnr",2,"migraine",8
"13870","aegiimnstv",2,"negativism",10
"13871","aegiimnstv",2,"timesaving",10
"13872","aegiinnorrtuy",2,"genitourinary",13
"13873","aegiinnorrtuy",2,"urinogenitary",13
"13874","aegiinnr",2,"arginine",8
"13875","aegiinnr",2,"nigerian",8
"13876","aegiinnrt",2,"negritian",9
"13877","aegiinnrt",2,"retaining",9
"13878","aegiinrstv",2,"gainstrive",10
"13879","aegiinrstv",2,"vinegarist",10
"13880","aegiklot",2,"goatlike",8
"13881","aegiklot",2,"togalike",8
"13882","aegiklrsu",2,"arguslike",9
"13883","aegiklrsu",2,"sugarlike",9
"13884","aegiklt",2,"glaiket",7
"13885","aegiklt",2,"taglike",7
"13892","aegillnpru",2,"perlingual",10
"13893","aegillnpru",2,"prelingual",10
"13894","aegillnr",2,"allergin",8
"13895","aegillnr",2,"gralline",8
"13896","aegillorst",2,"allegorist",10
"13897","aegillorst",2,"legislator",10
"13898","aegillst",2,"legalist",8
"13899","aegillst",2,"stillage",8
"13900","aegillt",2,"tigella",7
"13901","aegillt",2,"tillage",7
"13902","aegilmnn",2,"mangelin",8
"13903","aegilmnn",2,"nameling",8
"13904","aegilmnnt",2,"alignment",9
"13905","aegilmnnt",2,"lamenting",9
"13909","aegilmnrst",2,"masterling",10
"13910","aegilmnrst",2,"streamling",10
"13914","aegilmr",2,"gremial",7
"13915","aegilmr",2,"lamiger",7
"13919","aegilnn",2,"angelin",7
"13920","aegilnn",2,"leaning",7
"13921","aegilnnrtu",2,"unaltering",10
"13922","aegilnnrtu",2,"unrelating",10
"13923","aegilno",2,"goniale",7
"13924","aegilno",2,"noilage",7
"13925","aegilnopst",2,"postgenial",10
"13926","aegilnopst",2,"spangolite",10
"13927","aegilnor",2,"geraniol",8
"13928","aegilnor",2,"regional",8
"13929","aegilnors",2,"gasoliner",9
"13930","aegilnors",2,"seignoral",9
"13931","aegilnortu",2,"regulation",10
"13932","aegilnortu",2,"urogenital",10
"13936","aegilnp",2,"apeling",7
"13937","aegilnp",2,"leaping",7
"13948","aegilnrss",2,"glariness",9
"13949","aegilnrss",2,"grainless",9
"13953","aegilnrtu",2,"granulite",9
"13954","aegilnrtu",2,"traguline",9
"13955","aegilns",2,"leasing",7
"13956","aegilns",2,"sealing",7
"13957","aegilnss",2,"gainless",8
"13958","aegilnss",2,"glassine",8
"13967","aegilnv",2,"leaving",7
"13968","aegilnv",2,"vangeli",7
"13969","aegiloorst",2,"aerologist",10
"13970","aegiloorst",2,"areologist",10
"13971","aegilops",2,"pelasgoi",8
"13972","aegilops",2,"spoilage",8
"13973","aegilors",2,"girasole",8
"13974","aegilors",2,"seraglio",8
"13975","aegilorsu",2,"aligerous",9
"13976","aegilorsu",2,"glaireous",9
"13977","aegilp",2,"paigle",6
"13978","aegilp",2,"pilage",6
"13979","aegilprs",2,"aspergil",8
"13980","aegilprs",2,"splairge",8
"13981","aegilrr",2,"grailer",7
"13982","aegilrr",2,"reglair",7
"13983","aegilrst",2,"glaister",8
"13984","aegilrst",2,"regalist",8
"13985","aegilrtu",2,"alurgite",8
"13986","aegilrtu",2,"ligature",8
"13987","aegilss",2,"algesis",7
"13988","aegilss",2,"glassie",7
"13993","aegilv",2,"glaive",6
"13994","aegilv",2,"vagile",6
"13995","aegimmnooprstu",2,"protomagnesium",14
"13996","aegimmnooprstu",2,"spermatogonium",14
"13997","aegimnnrt",2,"germinant",9
"13998","aegimnnrt",2,"minargent",9
"14002","aegimnrst",2,"germanist",9
"14003","aegimnrst",2,"streaming",9
"14004","aegimnst",2,"misagent",8
"14005","aegimnst",2,"steaming",8
"14006","aegimnstt",2,"agistment",9
"14007","aegimnstt",2,"magnetist",9
"14011","aegimorrsu",2,"armigerous",10
"14012","aegimorrsu",2,"ramigerous",10
"14013","aegimp",2,"magpie",6
"14014","aegimp",2,"piemag",6
"14015","aegimpr",2,"epigram",7
"14016","aegimpr",2,"primage",7
"14017","aegimps",2,"impages",7
"14018","aegimps",2,"mispage",7
"14026","aegimrt",2,"migrate",7
"14027","aegimrt",2,"ragtime",7
"14028","aegin",2,"angie",5
"14029","aegin",2,"gaine",5
"14033","aeginnot",2,"antigone",8
"14034","aeginnot",2,"negation",8
"14035","aeginnprsss",2,"raspingness",11
"14036","aeginnprsss",2,"sparingness",11
"14037","aeginnr",2,"earning",7
"14038","aeginnr",2,"engrain",7
"14039","aeginnrss",2,"angriness",9
"14040","aeginnrss",2,"ranginess",9
"14041","aeginnrstt",2,"astringent",10
"14042","aeginnrstt",2,"transigent",10
"14043","aeginnt",2,"antigen",7
"14044","aeginnt",2,"gentian",7
"14048","aeginoprt",2,"operating",9
"14049","aeginoprt",2,"pignorate",9
"14050","aeginorrv",2,"granivore",9
"14051","aeginorrv",2,"overgrain",9
"14052","aeginorst",2,"goniaster",9
"14053","aeginorst",2,"orangeist",9
"14057","aeginp",2,"genipa",6
"14058","aeginp",2,"piegan",6
"14059","aeginprstt",2,"spattering",10
"14060","aeginprstt",2,"tapestring",10
"14061","aeginprt",2,"partigen",8
"14062","aeginprt",2,"tapering",8
"14063","aeginpru",2,"pagurine",8
"14064","aeginpru",2,"perugian",8
"14070","aeginrr",2,"earring",7
"14071","aeginrr",2,"grainer",7
"14072","aeginrrst",2,"arresting",9
"14073","aeginrrst",2,"astringer",9
"14074","aeginrs",2,"searing",7
"14075","aeginrs",2,"seringa",7
"14076","aeginrss",2,"assigner",8
"14077","aeginrss",2,"reassign",8
"14087","aegins",2,"easing",6
"14088","aegins",2,"sangei",6
"14099","aegintt",2,"attinge",7
"14100","aegintt",2,"tintage",7
"14101","aegintu",2,"ungaite",7
"14102","aegintu",2,"unitage",7
"14103","aeginz",2,"agnize",6
"14104","aeginz",2,"ganzie",6
"14105","aegiortv",2,"ravigote",8
"14106","aegiortv",2,"rogative",8
"14107","aegiprs",2,"prisage",7
"14108","aegiprs",2,"spairge",7
"14109","aegir",2,"geira",5
"14110","aegir",2,"regia",5
"14111","aegirst",2,"seagirt",7
"14112","aegirst",2,"strigae",7
"14113","aegirstt",2,"strategi",8
"14114","aegirstt",2,"strigate",8
"14121","aegirtv",2,"virgate",7
"14122","aegirtv",2,"vitrage",7
"14123","aegirv",2,"argive",6
"14124","aegirv",2,"rivage",6
"14125","aegirw",2,"earwig",6
"14126","aegirw",2,"grewia",6
"14127","aegiz",2,"gaize",5
"14128","aegiz",2,"ziega",5
"14132","aegllnost",2,"gallstone",9
"14133","aegllnost",2,"stonegall",9
"14134","aegllopr",2,"galloper",8
"14135","aegllopr",2,"regallop",8
"14143","aeglmnoorty",2,"laryngotome",11
"14144","aeglmnoorty",2,"maternology",11
"14145","aeglmnorw",2,"angleworm",9
"14146","aeglmnorw",2,"lawmonger",9
"14147","aeglmnry",2,"germanly",8
"14148","aeglmnry",2,"germanyl",8
"14159","aeglnnoot",2,"nonlegato",9
"14160","aeglnnoot",2,"ontogenal",9
"14161","aeglnnor",2,"algernon",8
"14162","aeglnnor",2,"nonglare",8
"14163","aeglno",2,"angelo",6
"14164","aeglno",2,"engaol",6
"14165","aeglnooprt",2,"prolongate",10
"14166","aeglnooprt",2,"protogenal",10
"14167","aeglnor",2,"argenol",7
"14168","aeglnor",2,"longear",7
"14169","aeglnort",2,"argentol",8
"14170","aeglnort",2,"gerontal",8
"14174","aeglnot",2,"angelot",7
"14175","aeglnot",2,"tangelo",7
"14176","aeglnprs",2,"spangler",8
"14177","aeglnprs",2,"sprangle",8
"14184","aeglnrs",2,"sangrel",7
"14185","aeglnrs",2,"snagrel",7
"14186","aeglnrsst",2,"slangster",9
"14187","aeglnrsst",2,"strangles",9
"14191","aeglnrw",2,"wangler",7
"14192","aeglnrw",2,"wrangle",7
"14193","aeglnry",2,"angerly",7
"14194","aeglnry",2,"geranyl",7
"14195","aeglns",2,"angles",6
"14196","aeglns",2,"gansel",6
"14197","aeglnt",2,"tangle",6
"14198","aeglnt",2,"telang",6
"14199","aeglnu",2,"genual",6
"14200","aeglnu",2,"leguan",6
"14201","aeglnuu",2,"ungueal",7
"14202","aeglnuu",2,"ungulae",7
"14203","aeglo",2,"gloea",5
"14204","aeglo",2,"legoa",5
"14205","aegloory",2,"aerology",8
"14206","aegloory",2,"areology",8
"14207","aeglopry",2,"playgoer",8
"14208","aeglopry",2,"pylagore",8
"14209","aeglor",2,"galore",6
"14210","aeglor",2,"gaoler",6
"14214","aeglortw",2,"galewort",8
"14215","aeglortw",2,"waterlog",8
"14216","aeglott",2,"lagetto",7
"14217","aeglott",2,"tagetol",7
"14218","aeglov",2,"lovage",6
"14219","aeglov",2,"volage",6
"14223","aeglpu",2,"plague",6
"14224","aeglpu",2,"upgale",6
"14232","aeglrss",2,"glasser",7
"14233","aeglrss",2,"largess",7
"14234","aeglrt",2,"raglet",6
"14235","aeglrt",2,"tergal",6
"14236","aeglrtu",2,"gaulter",7
"14237","aeglrtu",2,"tegular",7
"14238","aeglru",2,"ragule",6
"14239","aeglru",2,"regula",6
"14240","aeglrv",2,"glaver",6
"14241","aeglrv",2,"gravel",6
"14242","aeglry",2,"argyle",6
"14243","aeglry",2,"gleary",6
"14247","aeglt",2,"aglet",5
"14248","aeglt",2,"galet",5
"14249","aeglu",2,"gulae",5
"14250","aeglu",2,"legua",5
"14251","aegly",2,"agley",5
"14252","aegly",2,"galey",5
"14253","aeglz",2,"gazel",5
"14254","aeglz",2,"glaze",5
"14258","aegmmr",2,"gammer",6
"14259","aegmmr",2,"gramme",6
"14260","aegmnor",2,"marengo",7
"14261","aegmnor",2,"megaron",7
"14269","aegmnrt",2,"garment",7
"14270","aegmnrt",2,"margent",7
"14271","aegmnrtu",2,"argentum",8
"14272","aegmnrtu",2,"argument",8
"14273","aegmns",2,"magnes",6
"14274","aegmns",2,"semang",6
"14275","aegmnu",2,"mangue",6
"14276","aegmnu",2,"maunge",6
"14277","aegmoor",2,"moorage",7
"14278","aegmoor",2,"roomage",7
"14282","aegmru",2,"mauger",6
"14283","aegmru",2,"murage",6
"14289","aegnnnot",2,"nonagent",8
"14290","aegnnnot",2,"tannogen",8
"14291","aegnnort",2,"argenton",8
"14292","aegnnort",2,"negatron",8
"14293","aegnnp",2,"pangen",6
"14294","aegnnp",2,"penang",6
"14295","aegno",2,"agone",5
"14296","aegno",2,"genoa",5
"14297","aegnor",2,"onager",6
"14298","aegnor",2,"orange",6
"14302","aegnorstu",2,"argentous",9
"14303","aegnorstu",2,"neotragus",9
"14304","aegnort",2,"negator",7
"14305","aegnort",2,"tronage",7
"14310","aegnrr",2,"garner",6
"14311","aegnrr",2,"ranger",6
"14312","aegnrrt",2,"granter",7
"14313","aegnrrt",2,"regrant",7
"14332","aegnry",2,"anergy",6
"14333","aegnry",2,"rangey",6
"14334","aegns",2,"agnes",5
"14335","aegns",2,"gesan",5
"14336","aegnsu",2,"gnaeus",6
"14337","aegnsu",2,"unsage",6
"14338","aegnttu",2,"tungate",7
"14339","aegnttu",2,"tutenag",7
"14340","aegntu",2,"gunate",6
"14341","aegntu",2,"tangue",6
"14342","aegnu",2,"augen",5
"14343","aegnu",2,"genua",5
"14344","aegooprrt",2,"graperoot",9
"14345","aegooprrt",2,"prorogate",9
"14346","aegopst",2,"gestapo",7
"14347","aegopst",2,"postage",7
"14348","aegorrrt",2,"garroter",8
"14349","aegorrrt",2,"regrator",8
"14350","aegorrstu",2,"surrogate",9
"14351","aegorrstu",2,"urogaster",9
"14352","aegorst",2,"storage",7
"14353","aegorst",2,"tagsore",7
"14365","aegprs",2,"gasper",6
"14366","aegprs",2,"sparge",6
"14372","aegrrss",2,"grasser",7
"14373","aegrrss",2,"regrass",7
"14378","aegrruv",2,"gravure",7
"14379","aegrruv",2,"verruga",7
"14380","aegrst",2,"gaster",6
"14381","aegrst",2,"stager",6
"14382","aegrsu",2,"sauger",6
"14383","aegrsu",2,"usager",6
"14384","aegrsv",2,"gervas",6
"14385","aegrsv",2,"graves",6
"14392","aegrtt",2,"gatter",6
"14393","aegrtt",2,"target",6
"14398","aegrty",2,"geraty",6
"14399","aegrty",2,"gyrate",6
"14400","aegru",2,"argue",5
"14401","aegru",2,"auger",5
"14402","aegrz",2,"gazer",5
"14403","aegrz",2,"graze",5
"14404","aegsw",2,"swage",5
"14405","aegsw",2,"wages",5
"14410","aegu",2,"ague",4
"14411","aegu",2,"auge",4
"14418","aehhiilnoprt",2,"lithonephria",12
"14419","aehhiilnoprt",2,"philotherian",12
"14420","aehhillop",2,"halophile",9
"14421","aehhillop",2,"philohela",9
"14422","aehhilnopt",2,"anthophile",10
"14423","aehhilnopt",2,"lithophane",10
"14424","aehhimoprty",2,"hemiatrophy",11
"14425","aehhimoprty",2,"hypothermia",11
"14426","aehhnopprty",2,"nephropathy",11
"14427","aehhnopprty",2,"phrenopathy",11
"14428","aehhnoprty",2,"hypaethron",10
"14429","aehhnoprty",2,"hypothenar",10
"14430","aehhoprsttyy",2,"hysteropathy",12
"14431","aehhoprsttyy",2,"hysterophyta",12
"14432","aehhrrst",2,"rethrash",8
"14433","aehhrrst",2,"thrasher",8
"14434","aehhrs",2,"hasher",6
"14435","aehhrs",2,"rehash",6
"14436","aehht",2,"heath",5
"14437","aehht",2,"theah",5
"14438","aehiimnst",2,"histamine",9
"14439","aehiimnst",2,"semihiant",9
"14440","aehiimnstt",2,"antitheism",10
"14441","aehiimnstt",2,"themistian",10
"14442","aehiinorttt",2,"anorthitite",11
"14443","aehiinorttt",2,"trithionate",11
"14444","aehiiorrssttt",2,"arthrosteitis",13
"14445","aehiiorrssttt",2,"ostearthritis",13
"14446","aehijz",2,"hejazi",6
"14447","aehijz",2,"jeziah",6
"14451","aehilm",2,"hameil",6
"14452","aehilm",2,"hiemal",6
"14453","aehilmnoppy",2,"lymphopenia",11
"14454","aehilmnoppy",2,"polyphemian",11
"14455","aehilmnot",2,"hematolin",9
"14456","aehilmnot",2,"maholtine",9
"14457","aehilmstu",2,"hamulites",9
"14458","aehilmstu",2,"shulamite",9
"14459","aehilnops",2,"esiphonal",9
"14460","aehilnops",2,"phaseolin",9
"14461","aehilnr",2,"hernial",7
"14462","aehilnr",2,"inhaler",7
"14463","aehilnru",2,"herulian",8
"14464","aehilnru",2,"inhauler",8
"14465","aehilooprstt",2,"strophiolate",12
"14466","aehilooprstt",2,"theatropolis",12
"14467","aehiloprst",2,"hospitaler",10
"14468","aehiloprst",2,"trophesial",10
"14469","aehilorst",2,"horsetail",9
"14470","aehilorst",2,"isotheral",9
"14471","aehilprs",2,"earlship",8
"14472","aehilprs",2,"pearlish",8
"14473","aehilpsty",2,"physalite",9
"14474","aehilpsty",2,"styphelia",9
"14475","aehilrsv",2,"lavisher",8
"14476","aehilrsv",2,"shrieval",8
"14477","aehilrt",2,"hairlet",7
"14478","aehilrt",2,"therial",7
"14482","aehilst",2,"heliast",7
"14483","aehilst",2,"thesial",7
"14484","aehimmrs",2,"ashimmer",8
"14485","aehimmrs",2,"haremism",8
"14486","aehimnor",2,"homarine",8
"14487","aehimnor",2,"homerian",8
"14488","aehimnost",2,"hematosin",9
"14489","aehimnost",2,"thomasine",9
"14490","aehimnr",2,"harmine",7
"14491","aehimnr",2,"hireman",7
"14492","aehimnrsss",2,"marishness",10
"14493","aehimnrsss",2,"marshiness",10
"14494","aehimnt",2,"ethanim",7
"14495","aehimnt",2,"hematin",7
"14496","aehimprs",2,"samphire",8
"14497","aehimprs",2,"seraphim",8
"14498","aehimprss",2,"misphrase",9
"14499","aehimprss",2,"seraphism",9
"14500","aehimprsst",2,"mastership",10
"14501","aehimprsst",2,"shipmaster",10
"14502","aehimpss",2,"emphasis",8
"14503","aehimpss",2,"misshape",8
"14508","aehimr",2,"mehari",6
"14509","aehimr",2,"meriah",6
"14513","aehimsst",2,"mathesis",8
